,Location,latitude,longitude
489, 2ND ST SE,38.0265421,-78.48262629999999
490, 2ND ST SW,38.0303072,-78.4826066
491, SOUTH ST E,38.0281372,-78.47834399999999
492, 5TH ST NE,38.0306179,-78.47809699999999
493, 3RD ST SE,38.03000189999999,-78.4801497
494, MAIN ST E,38.0298397,-78.47850050000001
495, MONTROSE AVE,38.0205918,-78.47765919999999
496, SOUTH ST W,38.0299211,-78.4837865
497, CITY HALL ANNEX,38.0296644,-78.4765795
498, 6 ST NE,38.0308332,-78.4772204
499, 2 ST SE,38.0265421,-78.48262629999999
500, 1 ST S,38.0254385,-78.4845449
501, 6TH ST SE,38.0227707,-78.4823846
502, WASHINGTON AV,38.027617,-78.5136709
503, OBSERVATORY AV,38.0272393,-78.5142188
504, N. PIEDMONT AVE,38.0272167,-78.51881259999999
505, PRESTON PL,38.0420541,-78.4981379
506, UNIVERSITY CIR,38.0429051,-78.5017799
507,1408 JEFFERSON PARK AV,38.0316981,-78.5024102
508, ARLINGTON BLVD,38.0496947,-78.5066568
509, 16 ST NW,38.0408845,-78.4982489
510, VIRGINIA AVE,38.0384531,-78.49954919999999
511,500 16 ST NW,38.0398937,-78.4984642
512,12 ELLIEWOOD AV,38.0361745,-78.5001968
513,400 15 ST SW,38.0384698,-78.4982486
514, GORDON AV,38.0395474,-78.4976562
515,100 SUMMIT ST,38.0261037,-78.52077249999999
516,1300 KING ST,38.0278513,-78.5015425
517,1000 CHERRY AVE,38.0264846,-78.4974462
518,1217 JOHN ST,38.0368239,-78.4961269
519, WERTLAND ST,38.0344728,-78.4970338
520,1821 JEFFERSON PARK AV,38.02800310000001,-78.5113519
521,200 9TH ST SW,38.0306943,-78.4943989
522,400 14TH ST NW,38.037855,-78.4972554
523,500 2ND ST NE,38.0343241,-78.4786798
524,200 6 ST NEEE,38.0306781,-78.4772164
